candidate,party,constituency,votes,result,sex,province,district
Balendra Shah,Rastriya Swatantra Party,Jhapa-5,"68,348",Winner 🏆,♂ Male,Koshi Province,Jhapa
Indira Rana Magar,Rastriya Swatantra Party,Jhapa-2,"60,110",Winner 🏆,♀ Female,Koshi Province,Jhapa
Sobita Gautam,Rastriya Swatantra Party,Chitwan-3,"59,277",Winner 🏆,♀ Female,Bagmati Province,Chitwan
Mohan Thapa,Rastriya Swatantra Party,Rupandehi-3,"58,814",Winner 🏆,♂ Male,Lumbini Province,Rupandehi
Hari Dhakal,Rastriya Swatantra Party,Chitwan-1,"58,208",Winner 🏆,♂ Male,Bagmati Province,Chitwan
Lal Bikram Thapa,Rastriya Swatantra Party,Sunsari-2,"57,348",Winner 🏆,♂ Male,Koshi Province,Sunsari
Sulabh Kharel,Rastriya Swatantra Party,Rupandehi-2,"56,550",Winner 🏆,♂ Male,Lumbini Province,Rupandehi
Rubina Acharya,Rastriya Swatantra Party,Morang-6,"55,513",Winner 🏆,♀ Female,Koshi Province,Morang
Sunil Lamsal,Rastriya Swatantra Party,Rupandehi-1,"54,845",Winner 🏆,♂ Male,Lumbini Province,Rupandehi
Rabi Lamichhane,Rastriya Swatantra Party,Chitwan-2,"54,402",Winner 🏆,♂ Male,Bagmati Province,Chitwan
Badana Kumara Bhandari,Rastriya Swatantra Party,Kavrepalanchok-2,"53,344",Winner 🏆,♂ Male,Bagmati Province,Kavrepalanchok
Rajana Gautam,Rastriya Swatantra Party,Nawalpur-1,"50,945",Winner 🏆,♂ Male,Gandaki Province,Nawalpur
Thakur Singh Tharu,Rastriya Swatantra Party,Bardiya-1,"49,631",Winner 🏆,♂ Male,Lumbini Province,Bardiya
Raja Kishora Mahato,Rastriya Swatantra Party,Dhanusha-4,"48,270",Winner 🏆,♂ Male,Madhesh Province,Dhanusha
Ashok Kumar Chaudhary,Rastriya Swatantra Party,Sunsari-3,"47,421",Winner 🏆,♂ Male,Koshi Province,Sunsari
