candidate,party,votes,province,district,constituency,result,sex,cid
Khitiz Thebe,CPN (Unified Marxist-Leninist),"13,962",Koshi Province,Taplejung,Taplejung-1,🏆 Winner,♂ Male,ID: 339933
Gajendra Prasad Tumyang Limbu,Nepali Congress,"11,711",Koshi Province,Taplejung,Taplejung-1,Declared,♂ Male,ID: 341131
Khel Prasad Buda Chhetri,Nepali Communist Party,"6,775",Koshi Province,Taplejung,Taplejung-1,Declared,♂ Male,ID: 339610
Santosh Rai,Shram Sanskriti Party,"5,209",Koshi Province,Taplejung,Taplejung-1,Declared,♂ Male,ID: 340005
Birendra Shrestha,Rastriya Swatantra Party,"4,155",Koshi Province,Taplejung,Taplejung-1,Declared,♂ Male,ID: 340459
Kirti Man Maden,Ujyalo Nepal Party,232,Koshi Province,Taplejung,Taplejung-1,Declared,♂ Male,ID: 340763
"Muksam Labung, Limbu",Federal Democratic National Forum,221,Koshi Province,Taplejung,Taplejung-1,Declared,♂ Male,ID: 339429
Indra Prasad Thapa,Rastriya Prajatantra Party,185,Koshi Province,Taplejung,Taplejung-1,Declared,♂ Male,ID: 340160
Narpati Paudel,CPN (Maoist),155,Koshi Province,Taplejung,Taplejung-1,Declared,♂ Male,ID: 340649
Arun Subba (Lechervo),जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),141,Koshi Province,Taplejung,Taplejung-1,Declared,♂ Male,ID: 340108
Surya Gurung,Janata Samajwadi Party Nepal,55,Koshi Province,Taplejung,Taplejung-1,Declared,♂ Male,ID: 340363
Sant Bahadur Limbu,Mongol National Organisation,50,Koshi Province,Taplejung,Taplejung-1,Declared,♂ Male,ID: 339312
Indra Kumar Limbu,Nepal Janmukti Party,46,Koshi Province,Taplejung,Taplejung-1,Declared,♂ Male,ID: 339488
Narendra Kumar Kerung,Nepali Congress,"17,233",Koshi Province,Panchthar,Panchthar-1,🏆 Winner,♂ Male,ID: 340563
Hasta Raj Sherma,Shram Sanskriti Party,"14,734",Koshi Province,Panchthar,Panchthar-1,Declared,♂ Male,ID: 339925
Aindra Sundar Nembang,CPN (Unified Marxist-Leninist),"14,534",Koshi Province,Panchthar,Panchthar-1,Declared,♂ Male,ID: 340277
Hark Bahadur Nembang,Nepali Communist Party,"11,443",Koshi Province,Panchthar,Panchthar-1,Declared,♂ Male,ID: 340425
Mahendra Bikram Thamsuhang,Rastriya Swatantra Party,"4,197",Koshi Province,Panchthar,Panchthar-1,Declared,♂ Male,ID: 340066
Tek Bahadur Subba,Rastriya Parivartan Party,"2,825",Koshi Province,Panchthar,Panchthar-1,Declared,♂ Male,ID: 340963
Tej Kumar Kurumbang,Rastriya Prajatantra Party,925,Koshi Province,Panchthar,Panchthar-1,Declared,♂ Male,ID: 340153
Machindra Prasad Begha,Janata Samajwadi Party Nepal,247,Koshi Province,Panchthar,Panchthar-1,Declared,♂ Male,ID: 341366
Bhanu Bhakta Phiak,Federal Democratic National Forum,180,Koshi Province,Panchthar,Panchthar-1,Declared,♂ Male,ID: 342252
Ram Kumar Tumrok,Mongol National Organisation,162,Koshi Province,Panchthar,Panchthar-1,Declared,♂ Male,ID: 339540
Mitra Lingden,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),143,Koshi Province,Panchthar,Panchthar-1,Declared,♂ Male,ID: 342095
Prakash Kafle,Progressive Democratic Party,115,Koshi Province,Panchthar,Panchthar-1,Declared,♂ Male,ID: 341621
Vijay Nembang,CPN (Maoist),90,Koshi Province,Panchthar,Panchthar-1,Declared,♂ Male,ID: 341790
Narendra Prasada Kurum‍vang,Nepal Janmukti Party,61,Koshi Province,Panchthar,Panchthar-1,Declared,♂ Male,ID: 341025
Laksuman Tamang,Nepal Workers and Peasants Party,32,Koshi Province,Panchthar,Panchthar-1,Declared,♂ Male,ID: 340696
Nishkala Raee,Nepali Congress,"14,543",Koshi Province,Ilam,Ilam-1,🏆 Winner,♂ Male,ID: 340081
Vinoda Nembangga Limbu,Shram Sanskriti Party,"13,632",Koshi Province,Ilam,Ilam-1,Declared,♂ Male,ID: 339759
Kaji Mana Kagate,CPN (Unified Marxist-Leninist),"11,966",Koshi Province,Ilam,Ilam-1,Declared,♂ Male,ID: 339884
Vimala Gadal,Rastriya Swatantra Party,"9,160",Koshi Province,Ilam,Ilam-1,Declared,♂ Male,ID: 340213
Rana Bahadura Raee,Nepali Communist Party,"7,665",Koshi Province,Ilam,Ilam-1,Declared,♂ Male,ID: 340630
Buddha Lala Meche,Mongol National Organisation,801,Koshi Province,Ilam,Ilam-1,Declared,♂ Male,ID: 339552
Jvala Nepala,Rastriya Prajatantra Party,577,Koshi Province,Ilam,Ilam-1,Declared,♀ Female,ID: 339362
Hari Bahadura Gurung,Ujyalo Nepal Party,481,Koshi Province,Ilam,Ilam-1,Declared,♂ Male,ID: 339675
Lila Bahadura Sunuvar,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),296,Koshi Province,Ilam,Ilam-1,Declared,♂ Male,ID: 341364
Naradamani Sangapangg,CPN (Maoist),165,Koshi Province,Ilam,Ilam-1,Declared,♂ Male,ID: 341045
Tulsi Keshari Prajapati (chhunju),Nepal Workers and Peasants Party,44,Koshi Province,Ilam,Ilam-1,Declared,♀ Female,ID: 339474
Rama Prasada Limbu,Federal Democratic National Forum,39,Koshi Province,Ilam,Ilam-1,Declared,♂ Male,ID: 342168
Dambara Sinha Limbu,Nepal Janmukti Party,22,Koshi Province,Ilam,Ilam-1,Declared,♂ Male,ID: 340811
Suhanga Nembang,CPN (Unified Marxist-Leninist),"22,426",Koshi Province,Ilam,Ilam-2,🏆 Winner,♂ Male,ID: 339922
Bhesharaja Aachary,Nepali Congress,"14,650",Koshi Province,Ilam,Ilam-2,Declared,♂ Male,ID: 340271
Sudipa Raee,Shram Sanskriti Party,"14,400",Koshi Province,Ilam,Ilam-2,Declared,♂ Male,ID: 339867
Gokula Bahadura Raee,Rastriya Swatantra Party,"7,814",Koshi Province,Ilam,Ilam-2,Declared,♂ Male,ID: 341350
Oma Bahadura Gurungg,Nepali Communist Party,"1,172",Koshi Province,Ilam,Ilam-2,Declared,♂ Male,ID: 340605
Pavitra Limbu Tumvangaphe,Rastriya Janamukti Party,851,Koshi Province,Ilam,Ilam-2,Declared,♀ Female,ID: 341060
Divasa Raee,Rastriya Parivartan Party,751,Koshi Province,Ilam,Ilam-2,Declared,♂ Male,ID: 339849
Shyama Bahadura Limvu,Mongol National Organisation,704,Koshi Province,Ilam,Ilam-2,Declared,♂ Male,ID: 339583
Ganesha Prasada Dulal,Rastriya Prajatantra Party,352,Koshi Province,Ilam,Ilam-2,Declared,♂ Male,ID: 339478
Sadara Sin Lingadena (limbu),Federal Democratic National Forum,254,Koshi Province,Ilam,Ilam-2,Declared,♂ Male,ID: 341301
Bala Bahadura Aangadembe,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),165,Koshi Province,Ilam,Ilam-2,Declared,♂ Male,ID: 340147
Homa Prasada Khativada,CPN (Maoist),153,Koshi Province,Ilam,Ilam-2,Declared,♂ Male,ID: 340003
Yama Vahadura Limbu,Nepal Janmukti Party,60,Koshi Province,Ilam,Ilam-2,Declared,♂ Male,ID: 339431
Daka Prasada Gautam,Independent,29,Koshi Province,Ilam,Ilam-2,Declared,♂ Male,ID: 340889
Nisha Dangi,Rastriya Swatantra Party,"45,680",Koshi Province,Jhapa,Jhapa-1,🏆 Winner,♀ Female,ID: 339485
Keshav Raj Pandey,Nepali Congress,"10,550",Koshi Province,Jhapa,Jhapa-1,Declared,♂ Male,ID: 340934
Kevalram Rai,Shram Sanskriti Party,"10,004",Koshi Province,Jhapa,Jhapa-1,Declared,♂ Male,ID: 339617
Ramchandra Upreti,CPN (Unified Marxist-Leninist),"7,659",Koshi Province,Jhapa,Jhapa-1,Declared,♂ Male,ID: 340001
Hemraj Karki,Rastriya Prajatantra Party,"1,612",Koshi Province,Jhapa,Jhapa-1,Declared,♂ Male,ID: 339749
Santosh Tamang,Mongol National Organisation,971,Koshi Province,Jhapa,Jhapa-1,Declared,♂ Male,ID: 339463
Ashesh Ghimire,Nepali Communist Party,922,Koshi Province,Jhapa,Jhapa-1,Declared,♂ Male,ID: 340297
Naresh Kumar Lawati,Ujyalo Nepal Party,485,Koshi Province,Jhapa,Jhapa-1,Declared,♂ Male,ID: 340402
Olin Rajbanshi,Nepal Sadbhavana Party,109,Koshi Province,Jhapa,Jhapa-1,Declared,♂ Male,ID: 341655
Man Bahadur Sawa (Limbu),Federal Democratic National Forum,99,Koshi Province,Jhapa,Jhapa-1,Declared,♂ Male,ID: 340653
Durga Prasad Sawa Limbu,Independent,84,Koshi Province,Jhapa,Jhapa-1,Declared,♂ Male,ID: 339865
Rama Meche,Janata Samajwadi Party Nepal,43,Koshi Province,Jhapa,Jhapa-1,Declared,♀ Female,ID: 341776
Ganesh Kumar Kharel,Independent,33,Koshi Province,Jhapa,Jhapa-1,Declared,♂ Male,ID: 340123
Hiranya Prasad Bhattarai,Nepal Workers and Peasants Party,23,Koshi Province,Jhapa,Jhapa-1,Declared,♂ Male,ID: 340077
Khandru Karuwa,Nepal Janmukti Party,17,Koshi Province,Jhapa,Jhapa-1,Declared,♂ Male,ID: 340268
Indira Rana Magar,Rastriya Swatantra Party,"60,110",Koshi Province,Jhapa,Jhapa-2,🏆 Winner,♀ Female,ID: 339380
Dev Raj Ghimire,CPN (Unified Marxist-Leninist),"11,368",Koshi Province,Jhapa,Jhapa-2,Declared,♂ Male,ID: 339775
Keshav Kumar Bhandari,Shram Sanskriti Party,"7,291",Koshi Province,Jhapa,Jhapa-2,Declared,♂ Male,ID: 339545
Sarita Prasai,Nepali Congress,"5,616",Koshi Province,Jhapa,Jhapa-2,Declared,♀ Female,ID: 340352
Bhadra Prasad Nepal,Rastriya Prajatantra Party,"3,966",Koshi Province,Jhapa,Jhapa-2,Declared,♂ Male,ID: 339568
Dharmashila Chapagai,Nepali Communist Party,"1,115",Koshi Province,Jhapa,Jhapa-2,Declared,♀ Female,ID: 340124
Chuda Karn Begha,Ujyalo Nepal Party,560,Koshi Province,Jhapa,Jhapa-2,Declared,♂ Male,ID: 340596
Ramesh Kumar Rajbanshi,Janamat Party,380,Koshi Province,Jhapa,Jhapa-2,Declared,♂ Male,ID: 341141
Yuvraj Sangroula,Independent,305,Koshi Province,Jhapa,Jhapa-2,Declared,♂ Male,ID: 339645
Akal Bahadur Tamang,Mongol National Organisation,148,Koshi Province,Jhapa,Jhapa-2,Declared,♂ Male,ID: 339400
Til Bahadur Rai,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),99,Koshi Province,Jhapa,Jhapa-2,Declared,♂ Male,ID: 340434
Arjun Kumar Pandey,CPN (Maoist),98,Koshi Province,Jhapa,Jhapa-2,Declared,♂ Male,ID: 340650
Shree Prasad Sitaula,CPN (Unified),64,Koshi Province,Jhapa,Jhapa-2,Declared,♂ Male,ID: 340575
Man Bahadur Pulami Magar,Nepal Janmukti Party,61,Koshi Province,Jhapa,Jhapa-2,Declared,♂ Male,ID: 341479
Amrita Lawati,Federal Democratic National Forum,60,Koshi Province,Jhapa,Jhapa-2,Declared,♀ Female,ID: 340208
Punya Prasad Acharya,Independent,56,Koshi Province,Jhapa,Jhapa-2,Declared,♂ Male,ID: 340299
Chandra Kumari Garu,Nepal Workers and Peasants Party,20,Koshi Province,Jhapa,Jhapa-2,Declared,♀ Female,ID: 339313
Ramesh Kumar Karki,Independent,6,Koshi Province,Jhapa,Jhapa-2,Declared,♂ Male,ID: 341084
Prakash Pathak,Rastriya Swatantra Party,"38,674",Koshi Province,Jhapa,Jhapa-3,🏆 Winner,♂ Male,ID: 339542
Rajendra Prasad Lingden,Rastriya Prajatantra Party,"17,294",Koshi Province,Jhapa,Jhapa-3,Declared,♂ Male,ID: 339403
Rajendra Kumar Ghimire,Nepali Congress,"8,199",Koshi Province,Jhapa,Jhapa-3,Declared,♂ Male,ID: 340487
Hari Bahadur Rajbanshi,CPN (Unified Marxist-Leninist),"7,492",Koshi Province,Jhapa,Jhapa-3,Declared,♂ Male,ID: 340163
Dipak Timsina,Shram Sanskriti Party,"7,339",Koshi Province,Jhapa,Jhapa-3,Declared,♂ Male,ID: 339824
Dilliram Ghimire,Nepali Communist Party,"1,450",Koshi Province,Jhapa,Jhapa-3,Declared,♂ Male,ID: 340843
Abhay Rajwanshi,Independent,531,Koshi Province,Jhapa,Jhapa-3,Declared,♂ Male,ID: 341526
Shyam Krishna Pathak,Ujyalo Nepal Party,388,Koshi Province,Jhapa,Jhapa-3,Declared,♂ Male,ID: 341802
Yam Kumar Shrestha,Mongol National Organisation,380,Koshi Province,Jhapa,Jhapa-3,Declared,♂ Male,ID: 339510
Harsalal Rajbanshi,Janamat Party,354,Koshi Province,Jhapa,Jhapa-3,Declared,♂ Male,ID: 340341
Binita Kumari Rajbanshi,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),126,Koshi Province,Jhapa,Jhapa-3,Declared,♀ Female,ID: 340751
Santosh Katuwal,CPN (Maoist),76,Koshi Province,Jhapa,Jhapa-3,Declared,♂ Male,ID: 342548
