candidateId,nameNp,name,partyName,partyId,votes,gender,isWinner,fatherName,qualification,institution,address,spouseName,experience,code,CandidateID,AGE_YR
339933,क्षितिज थेबे,Khitiz Thebe,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),2598,13962,M,True,भुपेन्द्र  थेबे,स्नातक,TU,ताप्लेजुङ सिरीजङ्घा गाउँपालिका मादिबुङ,,,1-ताप्लेजुङ-1,339933,38
341131,गजेन्द्र प्रसाद तुम्याङ लिम्बु,Gajendra Prasad Tumyang Limbu,नेपाली काँग्रेस,2583,11711,M,False,Purna Bahadur Limbu,स्नातक,पाथीभरा वहुमुखी क्याम्पस,Taplejung,Radhika Lingden Tumyang,,1-ताप्लेजुङ-1,341131,46
339610,खेल प्रसाद बुडाक्षेत्री,Khel Prasad Buda Chhetri,नेपाली कम्युनिष्ट पार्टी,2557,6775,M,False,शम्सेर बहादुर बुडाक्षेत्री,I.s.c,TU,ताप्लेजुङ सिरीजङ्घा गाउँपालिका चिचिहाङ्ग,कुमारी  बुडाक्षेत्री,,1-ताप्लेजुङ-1,339610,50
340005,सन्तोष राई,Santosh Rai,श्रम संस्कृति पार्टी,2501,5209,M,False,Bal Bahadur Rai,कक्षा ८,गणेश मा.वि. खेवाङ,Taplejung,Sita Rai,,1-ताप्लेजुङ-1,340005,49
340459,बिरेन्द्र श्रेष्ठ,Birendra Shrestha,राष्ट्रिय स्वतन्त्र पार्टी,2528,4155,M,False,Tek Bahadur Shrestha,ईन्जिनेरिङ ग्राजुएड,युनिभर सिटी आर्मानिय,Taplejung,Manolak Wuphashree Shrestha,,1-ताप्लेजुङ-1,340459,55
340763,किर्ती मान मादेन,Kirti Man Maden,उज्यालो नेपाल पार्टी,2566,232,M,False,Narayan Prasad Maden,SLC,भानु जन मा.वि.,Taplejung,Nita Maden,,1-ताप्लेजुङ-1,340763,65
339429,"मुकसाम लाबुङ, लिम्बु","Muksam Labung, Limbu",संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,2550,221,M,False,बरधोज  लिम्बु,SEE,सरस्वती मा.वि. ,ताप्लेजुङ फक्ताङलुङ गाउँपालिका सेतोबा,,,1-ताप्लेजुङ-1,339429,44
340160,ईन्द्र प्रसाद थापा,Indra Prasad Thapa,राष्ट्रिय प्रजातन्त्र पार्टी,2604,185,M,False,Narjung Thapa,आई.ए.,पाथीभरा वहुमुखी क्याम्पस,Kailali,"Ishwara, Punyawati Devi, Prasai, Adhikari (Thapa)",,1-ताप्लेजुङ-1,340160,63
340649,नरपती पौडेल,Narpati Paudel,नेपाल कम्युनिस्ट पार्टी (माओवादी),2526,155,M,False,Dhurba Paudel,SLC,जनता मावि हाङदेवा,Taplejung,Bimala Khatiwada,,1-ताप्लेजुङ-1,340649,61
340108,अरुन सुब्बा (लेछर्वो),Arun Subba (Lechervo),जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),2531,141,M,False,हिमाल प्रसाद लिम्बु,एस.एल.सी,सिवा माद्यमिक विद्यालय,ताप्लेजुङ फुङलिङ नगरपालिका ,धनिका  चङवाङ,,1-ताप्लेजुङ-1,340108,48
340363,सूर्य गुरुङ,Surya Gurung,"जनता समाजवादी पार्टी, नेपाल",2542,55,M,False,San Man Gurung,एम.ए.,BHM,Taplejung,,,1-ताप्लेजुङ-1,340363,66
339312,सन्त बहादुर लिम्बु,Sant Bahadur Limbu,मंगोल नेशनल अर्गनाइजेसन,2511,50,M,False,फौद मान लिम्बु,कक्षा १०,,ताप्लेजुङ फुङलिङ नगरपालिका ,लक्ष्मी  लिम्बु,,1-ताप्लेजुङ-1,339312,57
339488,इन्द्र कुमार लिम्बू,Indra Kumar Limbu,नेपाल जनमुक्ति पार्टी,2529,46,M,False,Suk Raj Limbu,साक्षर,,Taplejung,Man Maya Limbu,,1-ताप्लेजुङ-1,339488,48
340563,नरेन्द्र कुमार केरुङ,Narendra Kumar Kerung,नेपाली काँग्रेस,2583,17233,M,True,Dev Man Kerung,स्नात्तकोतर व्यवस्थापन,त्रि.वी क्रितिपुर,Panchthar,Mina Kumari Rijal (Kerung),नेपाली काग्रेस केन्द्रिय सदस्य २०८२ नेपाली कांग्रेस पाँचथर सभापति २०६७-७८ प्रदेश सभा सदस्य उमेद्वार पाँचथर २०७४ संविधान सभा सदस्य उमेद्वार २०७० प्रजान्त्र वादी प्रध्यापक संघको केन्द्रीय सदस्य।,1-पाँचथर-1,340563,53
339925,हस्त राज शेर्मा,Hasta Raj Sherma,श्रम संस्कृति पार्टी,2501,14734,M,False,Nar Bahadur Sherma,SLC,श्री सिद्ध सरस्वती मा.वि,Panchthar,Chanda Numa Sherma,गायन तथा बाध्यवादन,1-पाँचथर-1,339925,40
340277,अइन्द्र सुन्दर नेम्वाङ,Aindra Sundar Nembang,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),2598,14534,M,False,Khamananda Si Nembang,I.A,त्रि.वि,Panchthar,,राजनिति कृयाशिल २५ वर्ष बाट,1-पाँचथर-1,340277,48
340425,हर्क बहादुर नेम्बाङ,Hark Bahadur Nembang,नेपाली कम्युनिष्ट पार्टी,2557,11443,M,False,गंगा प्रसाद नेम्बाङ,आ.ए,महेन्द्र रत्न क्याम्पस इलाम,पाँचथर फिदिम नगरपालिका ,रमुना  नेम्बाङ,२०५७ साले देखि कम्युनिष्ट आनदोलनमा लागि विभागिय क्षेत्रीय उत्पीडनका बारेमा ग्रामीण बस्तीहरुमा प्रत्यक्ष अनुभव गरेको।,1-पाँचथर-1,340425,45
340066,महेन्द्र विक्रम थाम्सुहाङ,Mahendra Bikram Thamsuhang,राष्ट्रिय स्वतन्त्र पार्टी,2528,4197,M,False,Aindra Bikram Thamsuhang,आ.ए,त्रि.वि.वि.,Panchthar,Nandakumari Chemjong,समाजिक अभियन्ता राजनितिक निखारता खेलकुद विभिन्न संघ सस्था,1-पाँचथर-1,340066,57
340963,टेकबहादुर सुब्बा,Tek Bahadur Subba,राष्ट्रिय परिवर्तन पार्टी,2568,2825,M,False,Jit Bahadur Subba,+12,,Panchthar,,राजनिति समाजसेवा संघ सस्था,1-पाँचथर-1,340963,42
