province,district,districtNp,code,name,nameNp,status,lastUpdated,votesCast,totalVoters
Koshi,Taplejung,ताप्लेजुङ,1-ताप्लेजुङ-1,Taplejung-1,ताप्लेजुङ क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,42897,90308
Koshi,Panchthar,पाँचथर,1-पाँचथर-1,Panchthar-1,पाँचथर क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,66921,143358
Koshi,Ilam,इलाम,1-इलाम-1,Ilam-1,इलाम क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,59391,112296
Koshi,Ilam,इलाम,1-इलाम-2,Ilam-2,इलाम क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,63781,119475
Koshi,Jhapa,झापा,1-झापा-1,Jhapa-1,झापा क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,78291,130993
Koshi,Jhapa,झापा,1-झापा-2,Jhapa-2,झापा क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,91323,147499
Koshi,Jhapa,झापा,1-झापा-3,Jhapa-3,झापा क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,82506,140825
Koshi,Jhapa,झापा,1-झापा-4,Jhapa-4,झापा क्षेत्र नं. 4,DECLARED,2026-06-30T21:28:05.771Z,77054,130704
Koshi,Jhapa,झापा,1-झापा-5,Jhapa-5,झापा क्षेत्र नं. 5,DECLARED,2026-06-30T21:28:05.771Z,102338,163356
Koshi,Sankhuwasabha,संखुवासभा,1-संखुवासभा-1,Sankhuwasabha-1,संखुवासभा क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,58888,119388
Koshi,Tehrathum,तेह्रथुम,1-तेह्रथुम-1,Tehrathum-1,तेह्रथुम क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,36795,73093
Koshi,Bhojpur,भोजपुर,1-भोजपुर-1,Bhojpur-1,भोजपुर क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,53728,125710
Koshi,Dhankuta,धनकुटा,1-धनकुटा-1,Dhankuta-1,धनकुटा क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,59208,118339
Koshi,Morang,मोरङ,1-मोरङ-1,Morang-1,मोरङ क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,71962,128276
Koshi,Morang,मोरङ,1-मोरङ-2,Morang-2,मोरङ क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,74603,129145
Koshi,Morang,मोरङ,1-मोरङ-3,Morang-3,मोरङ क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,89456,158021
Koshi,Morang,मोरङ,1-मोरङ-4,Morang-4,मोरङ क्षेत्र नं. 4,DECLARED,2026-06-30T21:28:05.771Z,74529,119173
Koshi,Morang,मोरङ,1-मोरङ-5,Morang-5,मोरङ क्षेत्र नं. 5,DECLARED,2026-06-30T21:28:05.771Z,70560,110157
Koshi,Morang,मोरङ,1-मोरङ-6,Morang-6,मोरङ क्षेत्र नं. 6,DECLARED,2026-06-30T21:28:05.771Z,85455,137783
Koshi,Sunsari,सुनसरी,1-सुनसरी-1,Sunsari-1,सुनसरी क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,82982,150376
Koshi,Sunsari,सुनसरी,1-सुनसरी-2,Sunsari-2,सुनसरी क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,95441,158886
Koshi,Sunsari,सुनसरी,1-सुनसरी-3,Sunsari-3,सुनसरी क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,89389,134275
Koshi,Sunsari,सुनसरी,1-सुनसरी-4,Sunsari-4,सुनसरी क्षेत्र नं. 4,DECLARED,2026-06-30T21:28:05.771Z,78463,137322
Koshi,Solukhumbu,सोलुखुम्बु,1-सोलुखुम्बु-1,Solukhumbu-1,सोलुखुम्बु क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,38566,85429
Koshi,Khotang,खोटाङ,1-खोटाङ-1,Khotang-1,खोटाङ क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,58638,146712
Koshi,Okhaldhunga,ओखलढुंगा,1-ओखलढुंगा-1,Okhaldhunga-1,ओखलढुंगा क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,55535,122659
Koshi,Udayapur,उदयपुर,1-उदयपुर-1,Udayapur-1,उदयपुर क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,73916,142759
Koshi,Udayapur,उदयपुर,1-उदयपुर-2,Udayapur-2,उदयपुर क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,40756,96077
Madhesh,Saptari,सप्तरी,2-सप्तरी-1,Saptari-1,सप्तरी क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,71324,119031
Madhesh,Saptari,सप्तरी,2-सप्तरी-2,Saptari-2,सप्तरी क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,62783,105909
Madhesh,Saptari,सप्तरी,2-सप्तरी-3,Saptari-3,सप्तरी क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,69296,111853
Madhesh,Saptari,सप्तरी,2-सप्तरी-4,Saptari-4,सप्तरी क्षेत्र नं. 4,DECLARED,2026-06-30T21:28:05.771Z,66303,109543
Madhesh,Siraha,सिराहा,2-सिराहा-1,Siraha-1,सिराहा क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,67352,104320
Madhesh,Siraha,सिराहा,2-सिराहा-2,Siraha-2,सिराहा क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,69643,105871
Madhesh,Siraha,सिराहा,2-सिराहा-3,Siraha-3,सिराहा क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,70638,111487
Madhesh,Siraha,सिराहा,2-सिराहा-4,Siraha-4,सिराहा क्षेत्र नं. 4,DECLARED,2026-06-30T21:28:05.771Z,63165,106047
Bagmati,Dolakha,दोलखा,3-दोलखा-1,Dolakha-1,दोलखा क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,79815,170303
Bagmati,Ramechhap,रामेछाप,3-रामेछाप-1,Ramechhap-1,रामेछाप क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,81994,187939
Bagmati,Sindhuli,सिन्धुली,3-सिन्धुली-1,Sindhuli-1,सिन्धुली क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,57280,110381
Bagmati,Sindhuli,सिन्धुली,3-सिन्धुली-2,Sindhuli-2,सिन्धुली क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,53661,104610
Madhesh,Dhanusha,धनुषा,2-धनुषा-1,Dhanusha-1,धनुषा क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,71191,126003
Madhesh,Dhanusha,धनुषा,2-धनुषा-2,Dhanusha-2,धनुषा क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,78037,134755
Madhesh,Dhanusha,धनुषा,2-धनुषा-3,Dhanusha-3,धनुषा क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,74377,125874
Madhesh,Dhanusha,धनुषा,2-धनुषा-4,Dhanusha-4,धनुषा क्षेत्र नं. 4,DECLARED,2026-06-30T21:28:05.771Z,79156,127755
Madhesh,Mahottari,महोत्तरी,2-महोत्तरी-1,Mahottari-1,महोत्तरी क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,63243,105456
Madhesh,Mahottari,महोत्तरी,2-महोत्तरी-2,Mahottari-2,महोत्तरी क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,59147,107411
Madhesh,Mahottari,महोत्तरी,2-महोत्तरी-3,Mahottari-3,महोत्तरी क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,59478,110247
Madhesh,Mahottari,महोत्तरी,2-महोत्तरी-4,Mahottari-4,महोत्तरी क्षेत्र नं. 4,DECLARED,2026-06-30T21:28:05.771Z,59543,107494
Madhesh,Sarlahi,सर्लाही,2-सर्लाही-1,Sarlahi-1,सर्लाही क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,73842,121160
Madhesh,Sarlahi,सर्लाही,2-सर्लाही-2,Sarlahi-2,सर्लाही क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,72381,123043
Madhesh,Sarlahi,सर्लाही,2-सर्लाही-3,Sarlahi-3,सर्लाही क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,77838,132305
Madhesh,Sarlahi,सर्लाही,2-सर्लाही-4,Sarlahi-4,सर्लाही क्षेत्र नं. 4,DECLARED,2026-06-30T21:28:05.771Z,73350,120912
Bagmati,Rasuwa,रसुवा,3-रसुवा-1,Rasuwa-1,रसुवा क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,23941,41471
Bagmati,Dhading,धादिङ,3-धादिङ-1,Dhading-1,धादिङ क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,80841,136596
Bagmati,Dhading,धादिङ,3-धादिङ-2,Dhading-2,धादिङ क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,69751,132535
Bagmati,Nuwakot,नुवाकोट,3-नुवाकोट-1,Nuwakot-1,नुवाकोट क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,67280,123807
Bagmati,Nuwakot,नुवाकोट,3-नुवाकोट-2,Nuwakot-2,नुवाकोट क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,67090,123480
Bagmati,Kathmandu,काठमाडौं,3-काठमाडौं-1,Kathmandu-1,काठमाडौं क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,29082,46363
Bagmati,Kathmandu,काठमाडौं,3-काठमाडौं-2,Kathmandu-2,काठमाडौं क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,57015,85574
Bagmati,Kathmandu,काठमाडौं,3-काठमाडौं-3,Kathmandu-3,काठमाडौं क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,41919,64440
Bagmati,Kathmandu,काठमाडौं,3-काठमाडौं-4,Kathmandu-4,काठमाडौं क्षेत्र नं. 4,DECLARED,2026-06-30T21:28:05.771Z,48689,74150
Bagmati,Kathmandu,काठमाडौं,3-काठमाडौं-5,Kathmandu-5,काठमाडौं क्षेत्र नं. 5,DECLARED,2026-06-30T21:28:05.771Z,50203,75222
Bagmati,Kathmandu,काठमाडौं,3-काठमाडौं-6,Kathmandu-6,काठमाडौं क्षेत्र नं. 6,DECLARED,2026-06-30T21:28:05.771Z,43355,67735
Bagmati,Kathmandu,काठमाडौं,3-काठमाडौं-7,Kathmandu-7,काठमाडौं क्षेत्र नं. 7,DECLARED,2026-06-30T21:28:05.771Z,42696,66753
Bagmati,Kathmandu,काठमाडौं,3-काठमाडौं-8,Kathmandu-8,काठमाडौं क्षेत्र नं. 8,DECLARED,2026-06-30T21:28:05.771Z,36413,56428
Bagmati,Kathmandu,काठमाडौं,3-काठमाडौं-9,Kathmandu-9,काठमाडौं क्षेत्र नं. 9,DECLARED,2026-06-30T21:28:05.771Z,50670,77745
Bagmati,Kathmandu,काठमाडौं,3-काठमाडौं-10,Kathmandu-10,काठमाडौं क्षेत्र नं. 10,DECLARED,2026-06-30T21:28:05.771Z,58058,81893
Bagmati,Bhaktapur,भक्तपुर,3-भक्तपुर-1,Bhaktapur-1,भक्तपुर क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,74967,107050
