partyId,partyName,prVotes,voteShare
2528,राष्ट्रिय स्वतन्त्र पार्टी,5183493,47.8402
2583,नेपाली काँग्रेस,1759172,16.236
2598,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),1455885,13.4368
2557,नेपाली कम्युनिष्ट पार्टी,811577,7.4903
2501,श्रम संस्कृति पार्टी,385902,3.5616
2604,राष्ट्रिय प्रजातन्त्र पार्टी,330684,3.052
2542,"जनता समाजवादी पार्टी, नेपाल",182285,1.6824
2568,राष्ट्रिय परिवर्तन पार्टी,172489,1.592
2585,जनमत पार्टी,79435,0.7331
2531,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",62069,0.5729
2578,नेपाल मजदुर किसान पार्टी,42299,0.3904
2527,राष्ट्र निर्माण दल नेपाल,39577,0.3653
2522,राष्ट्रिय जनमोर्चा,29456,0.2719
2567,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),29436,0.2717
2541,नेपाल जनता संरक्षण पार्टी,28424,0.2623
2516,प्रगतिशील लोकतान्त्रिक पार्टी,24676,0.2277
2526,नेपाल कम्युनिस्ट पार्टी (माओवादी),23867,0.2203
2511,मंगोल नेशनल अर्गनाइजेशन,20829,0.1922
2581,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),19832,0.183
2520,सार्वभौम नागरिक पार्टी,14886,0.1374
2591,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",10725,0.099
2521,संयुक्त नागरिक पार्टी,9142,0.0844
2569,स्वाभिमान पार्टी,8144,0.0752
2605,राष्ट्रिय जनमुक्ति पार्टी,7208,0.0665
2507,नेपाल जनता पार्टी,7164,0.0661
2548,राष्ट्रिय एकता दल,7071,0.0653
2602,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),6172,0.057
2558,राष्ट्रिय गौरव पार्टी,5250,0.0485
2504,नेशनल रिपब्लिक नेपाल,5160,0.0476
2571,गतिशील लोकतान्त्रिक पार्टी,5101,0.0471
2524,नेपालका लागि नेपाली पार्टी,5019,0.0463
2523,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),4835,0.0446
2550,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,4678,0.0432
2601,नेपाल कम्युनिष्ट पार्टी (संयुक्त),4515,0.0417
2534,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",4319,0.0399
2572,समावेशी समाजवादी पार्टी नेपाल,4288,0.0396
2553,नेपाल लोकतान्त्रिक पार्टी,4123,0.0381
2565,नेपाल मातृभूमि पार्टी,3228,0.0298
2510,जय मातृभूमि पार्टी,2948,0.0272
2551,राष्ट्रिय जनता पार्टी नेपाल,2936,0.0271
2536,बहुजन शक्ति पार्टी,2775,0.0256
2582,प्रजातान्त्रिक पार्टी नेपाल,2245,0.0207
2529,नेपाल जनमुक्ति पार्टी,2172,0.02
2540,जन अधिकार पार्टी,2117,0.0195
2555,नेपाल सद्‍भावना पार्टी,2018,0.0186
2552,पिपुल फर्ष्ट पार्टी,1800,0.0166
2509,नेपाली काँग्रेस (वी.पी.),1789,0.0165
2549,"नागरिक शक्ति, नेपाल",1733,0.016
2579,नेपाली जनश्रमदान संस्कृति पार्टी,1639,0.0151
2595,नेपाली जनता दल,1455,0.0134
2590,समावेशी समाजवादी पार्टी,1397,0.0129
2574,"जनता लोकतान्त्रिक पार्टी, नेपाल",1303,0.012
2537,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),1132,0.0104
2564,जनप्रिय लोकतान्त्रिक पार्टी,955,0.0088
2530,मितेरी पार्टी नेपाल,772,0.0071
2515,उन्‍नत लोकतन्त्र पार्टी,730,0.0067
2505,त्रिमुल नेपाल,694,0.0064
