Constituency Name,Latitude,Longitude
ताप्लेजुङ क्षेत्र नं. 1,27.3500,87.6667
पाँचथर क्षेत्र नं. 1,27.2167,87.8000
इलाम क्षेत्र नं. 1,26.9167,88.0000
इलाम क्षेत्र नं. 2,26.9000,87.8500
झापा क्षेत्र नं. 1,26.6333,88.0833
झापा क्षेत्र नं. 2,26.6167,88.0000
झापा क्षेत्र नं. 3,26.5833,87.9500
झापा क्षेत्र नं. 4,26.5667,87.8500
झापा क्षेत्र नं. 5,26.5500,87.7000
संखुवासभा क्षेत्र नं. 1,27.6000,87.2500
तेह्रथुम क्षेत्र नं. 1,27.1333,87.5333
भोजपुर क्षेत्र नं. 1,27.1667,87.0500
धनकुटा क्षेत्र नं. 1,26.9833,87.3333
मोरङ क्षेत्र नं. 1,26.6500,87.5500
मोरङ क्षेत्र नं. 2,26.6000,87.5000
मोरङ क्षेत्र नं. 3,26.5667,87.4500
मोरङ क्षेत्र नं. 4,26.5333,87.3833
मोरङ क्षेत्र नं. 5,26.4833,87.3167
मोरङ क्षेत्र नं. 6,26.4500,87.2500
सुनसरी क्षेत्र नं. 1,26.8000,87.2833
सुनसरी क्षेत्र नं. 2,26.7333,87.2000
सुनसरी क्षेत्र नं. 3,26.6500,87.1333
सुनसरी क्षेत्र नं. 4,26.5500,87.0500
सोलुखुम्बु क्षेत्र नं. 1,27.7833,86.7333
खोटाङ क्षेत्र नं. 1,27.2000,86.7833
ओखलढुंगा क्षेत्र नं. 1,27.3167,86.5000
उदयपुर क्षेत्र नं. 1,26.9000,86.7000
उदयपुर क्षेत्र नं. 2,26.8833,86.4000
सप्तरी क्षेत्र नं. 1,26.5833,86.9000
सप्तरी क्षेत्र नं. 2,26.5667,86.8000
सप्तरी क्षेत्र नं. 3,26.5500,86.7000
सप्तरी क्षेत्र नं. 4,26.5333,86.6000
सिराहा क्षेत्र नं. 1,26.6833,86.4500
सिराहा क्षेत्र नं. 2,26.6667,86.3667
सिराहा क्षेत्र नं. 3,26.6500,86.2833
सिराहा क्षेत्र नं. 4,26.6333,86.2000
दोलखा क्षेत्र नं. 1,27.7833,86.2000
रामेछाप क्षेत्र नं. 1,27.3333,86.0833
सिन्धुली क्षेत्र नं. 1,27.2500,85.9500
सिन्धुली क्षेत्र नं. 2,27.2333,85.7500
धनुषा क्षेत्र नं. 1,26.7500,86.0500
धनुषा क्षेत्र नं. 2,26.7333,85.9833
धनुषा क्षेत्र नं. 3,26.7167,85.9333
धनुषा क्षेत्र नं. 4,26.7000,85.8833
महोत्तरी क्षेत्र नं. 1,26.8000,85.8500
महोत्तरी क्षेत्र नं. 2,26.7500,85.8167
महोत्तरी क्षेत्र नं. 3,26.7000,85.7833
महोत्तरी क्षेत्र नं. 4,26.6500,85.7500
सर्लाही क्षेत्र नं. 1,26.9500,85.6500
सर्लाही क्षेत्र नं. 2,26.9167,85.5833
सर्लाही क्षेत्र नं. 3,26.8833,85.5167
सर्लाही क्षेत्र नं. 4,26.8500,85.4500
रसुवा क्षेत्र नं. 1,28.1167,85.3500
धादिङ क्षेत्र नं. 1,27.9500,84.9500
धादिङ क्षेत्र नं. 2,27.8500,84.7500
नुवाकोट क्षेत्र नं. 1,27.9167,85.2500
नुवाकोट क्षेत्र नं. 2,27.9000,85.1000
काठमाडौं क्षेत्र नं. 1,27.6960,85.3330
काठमाडौं क्षेत्र नं. 2,27.7167,85.3833
काठमाडौं क्षेत्र नं. 3,27.7400,85.3700
काठमाडौं क्षेत्र नं. 4,27.7333,85.3450
काठमाडौं क्षेत्र नं. 5,27.7450,85.3300
काठमाडौं क्षेत्र नं. 6,27.7400,85.3100
काठमाडौं क्षेत्र नं. 7,27.7300,85.2950
काठमाडौं क्षेत्र नं. 8,27.7050,85.2900
काठमाडौं क्षेत्र नं. 9,27.6900,85.2800
काठमाडौं क्षेत्र नं. 10,27.6550,85.2750
भक्तपुर क्षेत्र नं. 1,27.6833,85.4333
भक्तपुर क्षेत्र नं. 2,27.6750,85.3833
ललितपुर क्षेत्र नं. 1,27.5500,85.3333
ललितपुर क्षेत्र नं. 2,27.6600,85.3200
ललितपुर क्षेत्र नं. 3,27.6750,85.3100
काभ्रेपलाञ्चोक क्षेत्र नं. 1,27.5833,85.6000
काभ्रेपलाञ्चोक क्षेत्र नं. 2,27.5667,85.5000
सिन्धुपाल्चोक क्षेत्र नं. 1,27.9500,85.8500
सिन्धुपाल्चोक क्षेत्र नं. 2,27.8000,85.6500
मकवानपुर क्षेत्र नं. 1,27.4167,85.1500
